Genres,Type,Source,Studios,Rating,Episodes
"comedy, fantasy, romance",tv,manga,shaft,pg-13 - teens 13 or older,25.0
"drama, sci-fi, supernatural",tv,manga,group tac,pg-13 - teens 13 or older,20.0
"drama, romance",tv,manga,pierrot,g - all ages,12.0
"drama, romance, slice of life",tv,visual novel,"trinet entertainment, picture magic",pg-13 - teens 13 or older,13.0
"action, adventure, fantasy, sci-fi",tv,game,bee train,pg-13 - teens 13 or older,22.0
"comedy, fantasy",tv,original,xebec,g - all ages,13.0
"drama, fantasy, supernatural",tv,visual novel,aic asta,pg-13 - teens 13 or older,13.0
"comedy, fantasy",tv,original,toei animation,g - all ages,51.0
"comedy, fantasy",tv,original,toei animation,g - all ages,49.0
"comedy, fantasy",tv,original,toei animation,g - all ages,50.0
"comedy, fantasy",tv,original,toei animation,g - all ages,51.0
"comedy, sci-fi, ecchi",tv,original,studio matrix,pg-13 - teens 13 or older,12.0
"action, drama, fantasy, romance",tv,light novel,j.c.staff,pg-13 - teens 13 or older,24.0
"action, fantasy, romance, supernatural",tv,visual novel,studio deen,r - 17+ (violence & profanity),24.0
"comedy, ecchi",ova,light novel,"hal film maker, nomad",r - 17+ (violence & profanity),4.0
"drama, romance, sci-fi",ova,light novel,toei animation,r+ - mild nudity,6.0
"action, sports",ova,manga,m.s.c,pg-13 - teens 13 or older,2.0
"adventure, drama, fantasy, supernatural",tv,game,group tac,pg-13 - teens 13 or older,12.0
"drama, romance",ova,visual novel,e&g films,pg-13 - teens 13 or older,3.0
"drama, romance",ova,visual novel,"picture magic, rikuentai",pg-13 - teens 13 or older,3.0
